node_id;latitude;longitude
57686;-12.0376028;-77.044098
42;-12.0379401;-77.0437464
43;-12.0349947;-77.0438989
45;-12.0374088;-77.0404556
19867;-12.037369;-77.0405495
44550;-12.0370376;-77.041303
19846;-12.0368464;-77.0415396
38658;-12.0360449;-77.0421723
19878;-12.0355208;-77.0431036
46;-12.0352129;-77.0436464
47;-12.0361259;-77.0435159
19837;-12.034638;-77.0437015
19826;-12.0330559;-77.0438259
19855;-12.0325439;-77.043871
19822;-12.0321192;-77.0439106
20000;-12.0309741;-77.0440148
19939;-12.0304805;-77.0440485
90861;-12.0289605;-77.0441783
50;-12.028706;-77.0441692
48;-12.0282786;-77.0442447
49;-11.8669587;-77.0114993
87469;-11.8671981;-77.0117102
88515;-11.8679356;-77.0122398
88582;-11.8688702;-77.0128934
88396;-11.8698551;-77.0135752
88586;-11.8708533;-77.0141523
88393;-11.8713655;-77.0144478
88702;-11.8718767;-77.0147438
88379;-11.8723909;-77.0150415
88634;-11.872894;-77.0153328
87684;-11.8734816;-77.0156523
87661;-11.8735616;-77.0157018
87486;-11.8745775;-77.0162812
87468;-11.8777453;-77.0178898
87678;-11.8781897;-77.0182831
87628;-11.8786223;-77.0186821
87697;-11.8790589;-77.0190793
87627;-11.8807266;-77.0215729
87535;-11.8813147;-77.022844
87363;-11.8818974;-77.0234251
86996;-11.8830893;-77.0238218
87400;-11.8874411;-77.023839
87205;-11.8899839;-77.0266367
87128;-11.8903973;-77.0269758
87127;-11.8904551;-77.0270185
87255;-11.892444;-77.0283362
94659;-11.8933573;-77.0287917
86963;-11.8986641;-77.0303139
10610;-11.8988049;-77.0303464
10608;-11.8992698;-77.030441
88767;-11.9009013;-77.030639
88746;-11.9016308;-77.0306277
79107;-11.9042565;-77.0309888
15802;-11.905191;-77.0314059
15801;-11.9053368;-77.0314702
15842;-11.9083702;-77.0342356
15849;-11.9084533;-77.0344149
21973;-11.9171347;-77.041301
22092;-11.9172229;-77.0413198
22082;-11.929636;-77.0438795
90559;-11.9298405;-77.0439805
22396;-11.933577;-77.0467045
22409;-11.9337333;-77.0468147
48486;-11.9528876;-77.0514758
