osm_id;osm_name
111964172;Jose de San Martin
111879655;Las Canarios
111935638;Jose Olaya
111933324;Calle 54
124276325;Calle 33
116691775;Sierra Maestra
39551446;Ramsey
191628991;LA ERMITA
70677422;Aija
36980297;LA LADERA
111895332;Andres Avelino Caceres
67610538;Marte
173706313;Apatita
111943634;Alameda Elias Aguirre
111924150;Rio Tambo
111934734;Libertad
111911808;San Andres
26407453;Tomas Marsano
111936846;El Sol
70639487;Tauro
111948010;Los Cipreses
35339012;Cruz Del Sur
70168804;Pje 2
114504132;Santa Patricia
111908951;Lima
35582585;Calle 29
153672639;200 millas
122215615;San Martin
111929409;San Martin
111913423;República de Líbano
111598355;Teniente Jose A. Lopez
111883509;Alfredo Mendiola
111882369;Pasaje 11
154976152;Calle 18
111942629;Fraternidad
35102262;Max Gonzales Olaechea
36940959;Calle 10
172424863;Teniente Tomas G.
111948454;Pacahcamac
70650805;Cl. Inca Ripac
123853263;Calle 6
35116347;Nicolas Arriola
111946016;Pampa Chica
39551098;Usquil
107472082;República de Brasil
111881345;Los Ciberneticos
242727966;Julio Diaz Diaz
37719262;Calle 17
111950299;San Enrique
111932097;Micaela Bastidas
207984573;Av. Nicolas Arriola
68212644;Los Ruibarbos
163318033;Calle 1
28316983;Huarochiri
111896573;Madreselva
111955298;Boca del Rio
53787311;Prol. Anaya
111914672;Los Textiles
36940915;Lugo
111883112;Los Eucaliptos
111959836;Central
60252613;Jose Barrionuevo
111896703;Union
111882812;Piura
111965044;LOS GERANIOS
33817650;Sevilla
34334787;Los Alamos
111932772;Los Cerritos
68853949;Manuel Villavicencio
164332664;Alfonso Ugarte
111955636;Jose Maria Arguedas
47596904;Amazonas
111925108;Arequipa
111899519;Juan Pablo Vizcardo y Guzman
28798270;Republica de Panama
119562304;Calle 16
76560273;Nicolas Dueñas
39551445;Nicolas de Pierola
111942769;san antonio
111897630;Prolongacion Javier Prado Este
111969945;Huascaran
111944432;Calle C
110061968;Calle 55
207468682;Jose Olaya
111964457;Calle 26
36980788;EL Pacificador
162891417;Calle 2
111943961;Bueno Aires
24267086;Avenidad Jorge Basadre
70601818;Presa
127704291;Juan Davalos
53718106;Ciro Alegría
115715346;Chancay
11981820;Tunel Santa Rosa
111887659;Tulipanes
111821183;Santiago
111947229;Coronel Enrique Montes
111918470;Jesus Morales
111938534;Los Cedros
111927404;Mariscal Antonio Jose de Sucre
50219707;Gallesi
111917687;Alfonzo Alvarado
24306775;Estados Unidos
71210310;Los Jardines
123992474;Calle 18
122223092;Lopez Albujar
111940289;Calle 35
111927843;Union
37718965;Las Tipas
24266874;Octavio Espinoza
111880429;Daniel Urrea
153699415;Circuito de Playas
172245182;Calle 26
24266590;Federico Villareal
68212701;Las Alcaparras
238267484;Santa Francisca de Romaña
73952098;Rio Huaura
111935052;SAN JOSE
77861357;Monsefú
127704275;Circunvalacion
124161877;Servidumbre
27767596;Gorriones
111906422;Calle 5
24315996;Franciso de Paula Ugarrize
111964434;Vista Alegre
27767579;Paseo de la Republica
116691763;Acuña
123853212;Calle 26
111880471;CALLE D
75226939;Jr. Peñaloza
49367064;Los Naranjos
111942746;Amazonas
111887364;Las Alondras
4832868;Abancay
111900213;Vizcardo y Guzman
111894220;Angamos Este
108165145;Mateo Condori
124161846;Av. Los Pinos
111920779;Los Tilos
111920415;Jose Davila
70650388;Cl. Urano
111894321;Chinchaysuyo
37434867;Calle 5
143607708;Carretera Lima Huarochiri
111887485;Tupac Amaru
70649207;Av. Venus
111598324;Alfredo Maldonado
68317949;Los Cantorcillos
111921793;San Martin
68522386;Sercitas
163717961;Las Gaviotas
149078400;Cajamarca
111910592;Nazareno
71185493;Pasco
163725380;Prol. San Martin
47638920;Manuel Guirior
111944883;Central
111940306;Santa Ana
71069648;Sabogal
111936329;28 de Julio
36185755;Machu Picchu
122554790;Pasaje 3
122494066;Faustino Sanchez Carrion
239945525;31 de Julio
34401709;Alfonso Ugarte
36980700;Arcos de la Frontera
70652805;Antonio Cabo
127873587;Loma Rosa
113541361;Bonaire
153106453;JOSE CARLOS MARIATEGUI
125812121;Augusto Gonzales Olaechea
111944679;Las Crucetas
115750504;Amadeo
4832882;Metropolitana
111958327;JOSE SABOGAL
68522382;Los Terrazos
111914596;Alameda de los Misioneros
111938078;ALAMO
169320581;Puno
169320572;Lurigancho
14342251;Prol.Arenales
111949234;LOS EUCALIPTOS
111934095;Prol. miguel Grau
122375986;Las Amatistas
121372349;Calle 30
126734953;Modelo
77861349;Rebeca Oquendo
111896183;Tenerife
28798245;Grau
120146440;Parque Alto
71213449;Los Zorzales
27945319;Luis Perez Salmon
111944551;Niagara
111945976;Andromeda
111799985;Julio Cesar Tello
68552088;Las Flores
35893663;Los Araucanos
111965675;Cajamarca
71284603;Calle F
25113433;Rio Majes
111931624;San Martin
72729845;Calle 7
124009473;San Isaias
36032765;Avenida 2
111894208;MALECON SUR
111900653;Holanda
39612644;Tiburcio Rios
111881416;Las Tunas
111935081;Andres Castelo
111928671;Carbajal
88161257;Los Viñedos
34109953;Alfredo Franco
111919879;Las Retamas
117598321;Manuel Vargas
111907708;Jose Maria Arguedas
111899725;La Torre
111970318;Los Jacintos
111959510;Carlos Gutierrez Noriega
108165137;Calle 2
116911771;8 de Enero
163573182;Las Margaritas
111960634;Los Eucaliptos
111938065;Aguas Calientes
127873635;El Algarrobo
111921955;Pedro Ruiz Gallo
39552709;Fray Angelica
34577155;Jose Maria Arguedas
119442047;Avenida Central
111937052;HUANCARQUI
33236908;Cmd. Schennone
36980522;Alameda de la Paz
116911833;Baltazar Valle
4832991;Avenida Universitaria
43491615;Av. Confraternidad
35140133;Huaylas
24252316;Av. Aramburú
111964427;Los Fitopatologos
183627193;Miguel Grau
111970388;Ribeyro
111892543;Copenhague
111934003;San Martin
111917611;Leoncio Prado
111926370;Jaen
75040438;Jr. 7 de Junio
111934126;Hungria
111963738;San Pedro
34188686;Lima Polo
35186103;Azangaro
126129853;Arturo Ruiz
111935443;Ayabaca
162153073;Las Peras
111919895;Ismael Bueno
111952681;Calle 42
111950118;Jose Olaya
111921481;Siberia
111936237;Los Pinos
111930753;Pasaje 2
115610928;Calle 51
111922721;Los Moros
111907549;Edilberto Ramos
68335722;Getias
119622517;Nicolas Ayllon
39315921;Via de Evitamiento
111937451;Los Pescadores
111924960;Av. Del Parque
111924967;San Jose
111908250;Principal
111957286;Garcia Villon
111889288;Enrique Lopez Albujar
119752705;Granada
114396139;Los Zafiros
77861309;Pacasmayo
119622505;Bauzate y Meza
118423729;Los Quechuas
71210266;Los Laureles
70817724;Av. 12 de Octubre
115715396;Las Americas
49427964;José Olaya
111890379;Nevado Raura
71284707;Calle P
111892447;Misionero Escudero
111958189;Las Cucardas
111886767;28 de Julio
54609961;Turner
111912082;H-5
35580799;Calle 5
27945269;Chachapoyas
70671583;Carlos Monge
111954305;Pasaje 27
111930034;HIPOLITO UNANUE
50978747;Zapata
121372321;Avenida C
111963829;Pueblo Nuevo
80033563;José Lopez Pazos
115715369;Los Pinos
111954312;13 de Junio
143917102;Los Canarios
75046498;Jr. Piñonate
24266736;Ulloa
27455416;Ovalo Saloom
115715322;Cañete
111915649;Central
111905302;Ladera de Cerro
71284153;Epsilon
43475521;Calle 2
37566500;Los Tamarindos
111915807;Alpamayo
111889407;Huanacaure
68187405;Los Pururaucas
154802810;Capitan
111926181;Jorge Chavez
111922948;Arequipa
129822341;Carrion
111970811;Los Nogales
91568672;Luis Carranza
70649215;Globo Terraqueo
33817362;General Borgoño
33820651;Lauricocha
111882328;Las Retamas
68335716;Las Drusas
111941019;NAZARETH
91568608;Bastidas
111968922;CRNL. Castañon
111907536;Pasaje 41
68523734;Piedra Luna
24306295;Malecon Bernales
111936518;Calle 8
111932810;Los Pacaes
34998401;-
111955849;Las Begonias
70823915;Pensamientos
115542655;Separadora Industrial
143867336;La Quebrada
111956081;El Misti
111942845;CESAR VALLEJO
111922094;AVENIDA 7
111895609;Jose Gonzales Gonaza
111910497;Ica
161719257;Calle Las Amapolas
111912151;Francisco Bolognesi
111959449;Tumi
118423739;Alfonso Ugarte
111800065;28 de Julio
70649209;Cl. Marte
163993572;Las Colinas
68863207;El Trebol
75980631;Arequipa
47731151;Palma
173888782;California
123856640;Calle 7
118291929;Rio Sapi
68675843;Santa Cruz
184873246;Las Rocas
111970272;Santiago de Chuco
111895196;Victor Malasquez
60104918;Validores
122507397;Chimbote
111929553;Santa Rosa
111894792;Calle La Mimosa
111951831;Santa Rosa
68860266;San Ignacio
240592892;San Martin
111959521;Los Amperios
71211330;Manuel Mesones Muro
11980143;Placencia
111914487;Las Acacias
119622456;Nicolas Ayllon
111927201;San Juan
111914013;Maximo Abril
68560896;Avenida Machu Picchu
24295246;Tomás Guido
68169763;Los Amautas
71283636;Calle H
40268655;Morisot
111965826;Jose Antonio Morales
111964206;Calle A-3
111960224;Los Sauces
129822344;Miguel Dasso
68551997;Rio Santa
111887539;San Pedro
111956868;Las Margaritas
111939910;Los Alamos
111885707;Tarma
183627197;Ramiro Priale
126856035;Separadora Industrial
111969569;Francisco Bolognesi
163820555;Simon Bolivar
35601198;Bernstein
124146846;Calle 14
111908946;Huancarqui
111903490;Franco del Peru
111893184;Real
39318050;Avenida La Molina
111927136;Lima
111947183;G-5
122515810;Las Esmeraldas
111883910;Machu Picchu
111934689;Victor Malasquez
119562179;Enrique Palacios
111950109;Pacamarca
111936173;Sarita Colonia
111881838;Irlanda
70646974;Virgo
127157865;Inti
125812114;Luís Montero
67654215;Nevado de Huandoy
111933412;Abraham Valdelomar
111892653;Calle 37
24266597;José Domingo Choquehuanca
111913148;San Juan
34401813;Ayacucho
111960460;Pasaje 7
111897992;Avenida B
111948482;20 de Agosto
71070641;Los Alamos
111883504;LAS MARGARITAS
24332455;las gaviotas
162878844;Haiti
37927506;El Timonel
122215600;Huascaran
111967264;Asturias
111964217;Malecon Rimac
41012609;Jose Francisco Arana
111944926;Calle 20
111923689;SAN MARTIN
39682452;Brasilia
70650807;Cl. Atahualpa
111911654;Calle 6
238774730;Prolongacion Huaylas
111889125;La Capilla
34577180;Madre de Dios
111907829;Santa Marcela
111906915;Arequipa
39612701;Punta Restin
111934993;Castilla
111956480;Calle 18
111883674;Calle V1
148627910;Avenida Nestor Gambetta
68859246;San Juan Bautista
116691770;Huayayoc
68523533;Los Terrazos
163824262;Hierro
111937145;|James F. Cooper
111916225;H-5
111941639;Jose Olaya
111895211;San Ignacio
28746604;Surco
111899864;Norberto Granque
75032315;Jose Leoncion Angeles
111926246;Talara
111930437;Majes
127349000;Del Carpio Muñoz
68188588;Los Chasquis
68169506;Chulpas
143502128;Libertad
111907832;8 de Octubre
68212692;Los Liquenes
25113313;Mariano Benavides
118423708;Mateo Pumacahua
116691750;El Sol
111917819;Escorpion
118291891;Av. Coricancha
111884809;Calle 1
154977367;Arriba Perú
111934352;Calle 4
111925554;Micaela Bastidas
111880070;Ciro ALegria
241011361;Santa Isabel
111954773;El Bosque
70803841;Pascual Saco Oliveros
111937719;Las Americas
118423759;Los Tumbos
115610876;Las Gardenias
70638958;Francisco Maldonado
116868110;Paul Harris
111897779;Jose Olaya
111924132;Majes
117598371;Manuel Vargas
143730868;LORETO
111940752;Amelies
111940049;Prol Cementerio
111961031;JORGE CHAVEZ
111891482;Prolongacion Virrey La Serna
122375955;El Bambu
111936192;Incahuasi
111945191;Calle 9
111927123;Pucara
111887215;Calle H
184184622;Baritina
111913560;JUAN VELASCO ALVARADO
111933291;Montevideo
111922964;Los Crisantemos
111940494;Las Rosas
111898161;Maria Parado de Bellido
111956931;Los Petroleros
71211326;Pasaje 39
111959058;Calle 3
116911870;Jose Olaya
111961774;Micaela Bastidas
111959816;Gonzales Prada
111894604;Pasaje 48
119524874;Los Musicos
111938660;Calle 20
121102089;Calle 2
68540187;Los Heliotropos
111906148;EL Molino
39661796;Francisca Zubiaga
35557442;Julio Mendoza Merino
34110007;Guillermo Peratta
111970010;Calle A
172756258;Santa Sofia
116948959;Anta
111956569;Los Laureles
111938648;Yauricocha
35921089;Estepa Rusa
35486967;Jose Julio Morales
111919798;Calle 38
125613766;Prol.Pacasmayo
24332660;Los Gavilanes
111964999;Sarmiento
196098113;Mariscal Miller
111930064;Moyobamba
111934014;Las Codornices
111965975;Alejandro Tirado
119442025;Marsella
111890227;Vladimir Malacovski
111925789;Las Praderas
24307217;Cuba
111893329;Calle 5
67801630;Ricardo Palma
118408741;Hanan Cusco
53399247;Las Esmeraldas
34907335;Los Amancaes
111918834;El Paraiso
33238033;Aparicio Gemoz Sanchez
119442055;Rio Chira
73947623;Valencia
111933409;San Juan
111921696;Calle 2
37566763;El Palo Rosa
111917736;Justo Pastor D.
111947784;Prol. Jose Carlos Mariategui
91568646;Pasaje 6
111931296;Las Fabricas
111880939;Yerupaja
67865014;Pasaje 2
111927247;Los Canarios
111904788;Chilca
111917956;Los Alamos
122507406;Roman Cavero
40756171;Santa Sabina
35139467;Rioja
111921063;Rio Grande
124345515;Calle 13
70640252;Las Orquideas
115576298;Calle 14
111927160;Trujillo
80476251;Pilar Lara
111942926;Rio Blanco
111964737;Sao Paulo
122525649;El Pino
111927477;Las Pecanas
111892373;Iquitos
111800068;Remigio Silva
68314472;Las Coralinas
19070316;Francia
111907636;El Golf
70826189;Calle 8
117598353;Calle 2
111928944;Joan Miro
68864309;Las Encimas
37272319;Union
111959070;Calle 4
111881150;Alameda Los Horizontes
115626798;Jorge Basadre
111955724;Los Heroes
111881200;Pasaje 26
46270288;San Pablo
111909538;Alameda del Poeta del la Rivera
114396096;Calle 17
35451369;28 deJulio
25138111;Santa Monica
111939262;Playa Hondable
111947567;Loreto
111919710;Hipolito Unanue
75037344;Jr. Amazonas
65496880;Avenida Paso de los Andes
121372222;Calle 10
127168235;Castrovirreyna
124345498;Pasaje 12
37615313;Ernesto Cardenas
111949202;Santa Patricia
39452509;Cahuide
122493970;Jose Bernardo Alcedo
125616312;Principal
113541356;Barbados
111970392;Sucre
111922437;Los Cedros
111900615;2 de Mayo
111954078;Punta Paracas
111949869;San Martín
111948758;Las Crucetas
111920691;Calle 21
111963004;Ramon Guerrero
111913972;Emilio Fort
111965532;Libertad
111903372;Los Gavilanes
111903838;ALMIRANTE MIGUEL GRAU
110061829;Arequipa
72729837;Jr. San Pedro
111889824;Almirante Miguel Grau
36047102;El Atajo
111896388;Los Pinos
124146855;Judicial
111931149;JATO SISA
116691768;Los Incas
143867389;Ricardo Elias Aparicio
122525600;Av. Nicolas Ayllon
111914382;Calle 12
111881340;James Adams
111930693;Malecon Chillon
111937588;Costa Brava
111905738;La Alameda
71187258;Moquegua
60104905;Chaquilcacha
111958229;Aymaras
111912497;GENERAL LA MAR
111893445;CALLE K
111882109;Los Jaspes
68173632;Coricancha
47731187;Manuel Mesones Muro
111907758;Ricardo Palma
71187254;Ica
127157852;Puerto Supe
39551371;Trujillo
111955790;Los Cedros
118408733;Calle 33
70652169;Juan Cajamuman
71089926;Fortunato Herrera
111941509;Almirante Miguel Grau
70625605;Las Guabas
72389944;Los Delfines
68540170;Rio Huaura
129897456;Jr. Huanuco
111889950;Los Intocablez
127157839;Los Claveles
111884214;Los Castillos
39551077;Vinzos
75042158;Jr. Ramon Espinoza
111879370;Hermitas
75980614;Ricardo Palma
146545357;Combate de Angamos
111947574;Trujillo
41734284;Calle 6
72395586;Calle 6
122507475;Juan Fumagalli
111931093;Parque Interno
111946075;Chimu
37615344;Luis Reynafarge Hurtado
111890639;8 DE OCTUBRE
111902036;Santa Clotilde
68212705;Domingo Choquehuanca
123992497;Calle 19
111889011;Monte Caramelo
11980556;Lizardo Alzamora Este
111969927;Pucallpa
111925418;Salta
109831728;San Geronimo
47731193;Julian Apaza
166380328;Templo del Sol
121290000;Oscar Benavides
25137993;Alfredo Mendiola
129962516;Conchan del Tajo
68519735;Los Granates
165561424;Jose Gonzales Gonaza
111821114;Metropolitana
184873245;Av. Piedra Luna
24306326;Juan de Aliaga
111970599;Los Andes
68540150;Rio Putumayo
111947631;Alameda del Premio Real
116911886;Manuel Gomez
68863211;18 De Enero
35893404;Buen Retiro
37019357;Los Cedrones
111965796;Santa Rosa
111883291;Calle 1
123684000;Elmer Faucett
122215594;San Pedro
