source;x1;y1
151;-77.0238214;-12.0426427
152;-77.0242765;-12.0430833
153;-77.0251929;-12.0449132
154;-77.0299623;-12.058955
155;-77.0250477;-12.044841
156;-77.0297722;-12.0592253
157;-77.02981;-12.0589357
158;-77.0595267;-11.9764482
159;-77.0646624;-11.9525423
160;-77.0648165;-11.9524761
161;-77.0596737;-11.9765376
162;-77.0596886;-11.9768483
163;-77.047991;-11.9151397
164;-77.0626121;-11.9613716
165;-77.0627583;-11.9614215
166;-77.0727621;-11.9644884
167;-77.1011528;-12.0196318
168;-77.1012509;-12.0194365
169;-77.1057063;-12.0222867
170;-77.1013987;-12.0197945
171;-77.0615107;-12.008902
172;-77.1166601;-12.0009557
173;-77.0877906;-11.9743872
174;-77.0780666;-12.035159
175;-77.0775494;-12.0319871
176;-77.0774685;-12.0317528
177;-77.0754145;-12.0264791
178;-77.0751999;-12.0259335
179;-77.0794466;-12.0128105
180;-77.0822972;-12.0066775
181;-77.0823286;-12.0065318
182;-77.0844972;-11.9961987
183;-77.0844524;-11.9960292
184;-77.0767577;-11.978029
185;-77.0626824;-11.961715
186;-77.0625289;-11.9616677
187;-77.0477794;-11.9152425
188;-77.0802183;-12.0125094
189;-77.0799947;-12.0128881
190;-77.0752943;-12.0258831
191;-77.075526;-12.0264455
192;-77.0775473;-12.0317426
193;-77.0776502;-12.0319721
194;-77.0781661;-12.0351308
195;-77.0508785;-12.0989604
196;-77.0380189;-12.1005931
197;-77.0336133;-12.0909238
198;-77.034871;-12.0940508
199;-77.0426634;-12.1186727
200;-77.0371802;-12.1106447
201;-77.0201187;-12.0973771
202;-77.0223549;-12.0919858
203;-77.0316182;-12.1035872
204;-77.0276409;-12.1029803
205;-77.034051;-12.1008782
206;-77.0381148;-12.1008318
207;-77.0358406;-12.1016459
208;-77.036805;-12.1015295
209;-77.0358804;-12.1021067
210;-77.0383981;-12.1018053
211;-77.0359205;-12.1026009
212;-77.0367968;-12.1024873
213;-77.0368875;-12.1030558
214;-77.0317573;-12.1028344
215;-77.0355497;-12.1001429
216;-77.0456366;-12.0979747
217;-77.033357;-12.0995985
218;-77.0478566;-12.098163
219;-77.0331063;-12.0998335
220;-77.0340181;-12.0975376
221;-77.0319379;-12.1017706
222;-77.0345588;-12.1017086
223;-77.0288646;-12.0991807
224;-77.0293495;-12.0979546
225;-77.0300038;-12.131446
226;-77.0294903;-12.1269157
227;-77.0200208;-12.0296944
228;-77.0219311;-12.0301234
229;-77.0363381;-12.0594459
230;-77.0410124;-12.0600813
231;-77.0409936;-12.0602924
232;-77.0362008;-12.0601684
233;-77.0556739;-12.0319025
234;-77.0179124;-12.1357607
235;-77.0353682;-12.0601348
236;-77.01831;-12.137349
237;-77.0331847;-12.0934281
238;-77.0322888;-12.0996983
239;-77.0291397;-12.1189885
240;-77.0289032;-12.1190346
241;-77.0314818;-12.1035547
242;-77.0321581;-12.0996627
243;-77.0330875;-12.0933804
244;-77.0289496;-12.1194257
245;-77.0292457;-12.1193558
246;-77.0324055;-12.1238238
247;-77.0515211;-12.1102338
248;-77.044074;-12.118636
249;-77.0324413;-12.1238644
250;-77.0244359;-12.1253653
251;-77.0463768;-12.102815
252;-77.057673;-12.1011835
253;-77.0389216;-12.1045634
254;-77.0353891;-12.0966699
255;-77.0349451;-12.0978689
256;-77.0341691;-12.104519
257;-77.0338636;-12.1031761
258;-77.0337975;-12.1017975
259;-77.0333969;-12.0995915
260;-77.0296657;-12.1021026
261;-77.0316791;-12.1023508
262;-77.0298912;-12.1009869
263;-77.0301767;-12.0993662
264;-77.0308877;-12.0945981
265;-77.0272064;-12.1006216
266;-77.0313476;-12.1011929
267;-77.0366388;-12.1099886
268;-77.0366688;-12.1099659
269;-77.0404219;-12.1189157
270;-77.0430996;-12.1189144
271;-77.0221376;-12.1210621
272;-77.0251786;-12.1190761
273;-77.0255531;-12.1190781
274;-77.0288706;-12.1193127
275;-77.0260794;-12.1191982
276;-77.0203093;-12.1221591
277;-77.0251693;-12.1192159
278;-77.022224;-12.1211808
279;-77.0244177;-12.1299198
280;-77.0295762;-12.1277465
281;-77.0336086;-12.1261469
282;-77.0288638;-12.1290052
283;-77.0291111;-12.1322012
284;-77.0259696;-12.1314785
285;-77.0236608;-12.1292853
286;-77.0340994;-12.129987
287;-77.0326766;-12.1265314
288;-77.0317145;-12.1241762
289;-77.0309186;-12.1225593
290;-77.0330936;-12.1254588
291;-77.0323475;-12.1257497
292;-77.0314294;-12.1251769
293;-77.0317372;-12.1259955
294;-77.0320532;-12.1267843
295;-77.0338334;-12.1294415
296;-77.0327503;-12.1246868
297;-77.0320226;-12.124945
298;-77.0240642;-12.1281777
299;-77.0301526;-12.1243412
300;-77.0301582;-12.1244182
301;-77.0305278;-12.1255409
302;-77.0307853;-12.1264043
303;-77.0310165;-12.1272095
304;-77.0322611;-12.1309341
305;-77.0307075;-12.1243091
306;-77.0301198;-12.1219936
307;-77.0220316;-12.1216374
308;-77.0243007;-12.1237406
309;-77.0341836;-12.1269861
310;-77.0330172;-12.1274078
311;-77.0324086;-12.1276374
312;-77.0312879;-12.1280708
313;-77.0296534;-12.1286779
314;-77.0252074;-12.1306835
315;-77.0259954;-12.1313328
316;-77.0289839;-12.1301212
317;-77.0297564;-12.1298024
318;-77.0315895;-12.1290726
319;-77.0328206;-12.1285688
320;-77.033387;-12.1283339
321;-77.0346036;-12.1279001
322;-77.0257058;-12.1323593
323;-77.0290295;-12.1310519
324;-77.0298422;-12.1307254
325;-77.0336789;-12.129022
326;-77.033181;-12.1291814
327;-77.0317415;-12.1295842
328;-77.0297892;-12.1301537
329;-77.0339793;-12.1281073
330;-77.0336359;-12.1272094
331;-77.0205112;-12.1224366
332;-77.0222205;-12.1213437
333;-77.0247141;-12.1219462
334;-77.0246869;-12.1220959
335;-77.0221776;-12.1215031
336;-77.116518;-12.0673129
337;-77.121464;-12.0637352
338;-77.1384095;-12.0523633
339;-77.1384021;-12.060254
340;-77.1359719;-12.0542099
341;-77.1423573;-12.0564715
342;-77.1385897;-12.0584152
343;-77.1372078;-12.058625
344;-77.1386326;-12.0575087
345;-77.1427339;-12.0542218
346;-77.1426542;-12.0583675
347;-77.138564;-12.0587174
348;-77.1342801;-12.0591081
349;-77.1412834;-12.0606524
350;-77.1413865;-12.0584773
351;-77.1409415;-12.0576094
352;-77.1399973;-12.0564343
353;-77.1374767;-12.0533546
354;-77.1428383;-12.0602282
355;-77.1413031;-12.0603181
356;-77.134447;-12.059707
357;-77.1352595;-12.0590112
358;-77.1380576;-12.056854
359;-77.1394137;-12.055746
360;-77.1410616;-12.0544366
361;-77.133194;-12.0595338
362;-77.1374911;-12.0561741
363;-77.1388987;-12.0550577
364;-77.1417842;-12.0527497
365;-77.1325757;-12.0588882
366;-77.1369418;-12.0554858
367;-77.1382979;-12.0543694
368;-77.1399716;-12.0531019
369;-77.0369303;-12.1098897
370;-77.0367415;-12.1020151
371;-77.0367711;-12.1009836
372;-77.0364281;-12.1000487
373;-77.0363041;-12.0990573
374;-77.0355081;-12.0966348
375;-77.0370308;-12.0989847
376;-77.037205;-12.099959
377;-77.0373166;-12.1009325
378;-77.0374539;-12.1019396
379;-77.0380777;-12.1069661
380;-77.0370239;-12.1084276
381;-77.0408357;-12.1114563
382;-77.0391178;-12.1131619
383;-77.042716;-12.1095262
384;-77.0418662;-12.1087122
385;-77.0399516;-12.1106255
386;-77.038386;-12.112207
387;-77.0983203;-12.052517
388;-77.0996736;-12.0536746
389;-77.0979113;-12.0537042
390;-77.0980568;-12.0537448
391;-77.0984635;-12.0536597
392;-77.0975354;-12.0534528
393;-77.1281774;-12.0590222
394;-77.0668347;-12.031419
395;-77.0587575;-12.0324834
396;-77.0585343;-12.0319966
397;-77.0661275;-12.0309141
398;-77.0660465;-12.030382
399;-77.0666814;-12.0344546
400;-77.0663052;-12.0320813
401;-77.0662162;-12.0314947
402;-77.0659587;-12.0298056
403;-77.032971;-12.1019337
404;-77.0327965;-12.1029961
405;-77.0325061;-12.1046703
406;-77.0347475;-12.1030812
407;-77.034473;-12.1009449
408;-77.03443;-12.0992916
409;-77.0338915;-12.0969873
410;-77.0299826;-12.093668
411;-77.028812;-12.1013254
412;-77.0297671;-12.1014571
413;-77.0297215;-12.1148472
414;-77.0400434;-12.1148132
415;-77.0397285;-12.1190742
416;-77.0292614;-12.1191956
417;-77.0369709;-12.1107312
418;-77.0370284;-12.1148535
